위성명,NORAD_ID,통과시간(UTC),최대앙각(°),궤도고도(km)
STARLINK-4343,53050,2022-08-04 09:48:00,69.5,418.0
TBA - TO BE ASSIGNED,81449,2022-08-04 01:55:00,69.4,744.2
STARLINK-4040,53151,2022-08-04 03:11:00,69.4,354.7
STARLINK-4079,52666,2022-08-04 15:57:00,69.3,542.4
STARLINK-4066,53148,2022-08-04 03:12:00,69.2,354.6
STARLINK-4092,52838,2022-08-04 17:19:00,69.2,467.9
STARLINK-4345,53049,2022-08-04 09:48:00,69.1,418.0
STARLINK-4315,53077,2022-08-04 21:31:00,69.1,417.2
STARLINK-4024,52599,2022-08-04 23:57:00,69.0,543.2
TBA - TO BE ASSIGNED,270070,2022-08-04 13:19:00,68.9,615.9
TBA - TO BE ASSIGNED,81864,2022-08-04 09:04:00,68.9,640.9
OBJECT B,52786,2022-08-04 03:47:00,68.9,604.9
COSMOS 1408 DEB,52820,2022-08-04 12:25:00,68.9,462.6
TBA - TO BE ASSIGNED,270209,2022-08-04 21:49:00,68.9,782.3
TBA - TO BE ASSIGNED,87334,2022-08-04 01:36:00,68.9,1051.4
STARLINK-4195,52870,2022-08-04 07:41:00,68.9,352.2
STARLINK-3930,52568,2022-08-04 13:19:00,68.8,543.2
STARLINK-4185,53139,2022-08-04 03:13:00,68.7,354.8
TBA - TO BE ASSIGNED,85015,2022-08-04 21:10:00,68.6,697.3
STARLINK-4099,53146,2022-08-04 03:12:00,68.6,355.5
COSMOS 1408 DEB,52808,2022-08-04 22:07:00,68.5,512.0
YAOGAN-35 E,52908,2022-08-04 22:42:00,68.3,495.7
STARLINK-3833,52578,2022-08-04 14:18:00,68.3,542.7
TBA - TO BE ASSIGNED,87163,2022-08-04 05:29:00,68.3,1042.5
STARLINK-3957,52562,2022-08-04 13:41:00,68.2,542.8
STARLINK-3960,52659,2022-08-04 01:12:00,68.2,544.2
STARLINK-4333,53088,2022-08-04 21:30:00,68.2,417.5
TBA - TO BE ASSIGNED,87074,2022-08-04 06:15:00,68.1,962.8
STARLINK-4093,53157,2022-08-04 03:10:00,68.1,354.8
STARLINK-4025,52696,2022-08-04 15:16:00,68.0,542.7
STARLINK-4000,52605,2022-08-04 00:33:00,68.0,543.1
STARLINK-3988,52625,2022-08-04 09:05:00,68.0,548.9
STARLINK-3929,52567,2022-08-04 13:36:00,67.8,542.9
STARLINK-4346,53073,2022-08-04 21:32:00,67.8,417.8
STARLINK-3982,52614,2022-08-04 09:06:00,67.8,544.0
STARLINK-4043,52836,2022-08-04 17:21:00,67.8,469.7
STARLINK-4045,53152,2022-08-04 03:11:00,67.8,354.1
STARLINK-4274,52865,2022-08-04 07:41:00,67.7,352.6
TBA - TO BE ASSIGNED,87501,2022-08-04 19:44:00,67.7,719.3
NACHOS-1,52917,2022-08-04 12:11:00,67.7,399.6
H-2A DEB,53344,2022-08-04 18:10:00,67.7,547.7
TBA - TO BE ASSIGNED,81122,2022-08-04 19:08:00,67.7,995.9
TBA - TO BE ASSIGNED,81247,2022-08-04 17:57:00,67.6,714.8
TBA - TO BE ASSIGNED,82112,2022-08-04 05:10:00,67.6,726.7
STARLINK-4321,53082,2022-08-04 21:31:00,67.6,417.8
TBA - TO BE ASSIGNED,87280,2022-08-04 08:21:00,67.5,1024.8
STARLINK-4341,53052,2022-08-04 09:49:00,67.5,424.4
MISR-B-1,52949,2022-08-04 01:40:00,67.4,498.0
STARLINK-3929,52567,2022-08-04 13:35:00,67.4,543.2
