w_mentions,w_goldstein,w_tone,w_geo,w_zscore,f1,precision,recall,best_threshold
0.0,0.3,0.3,0.4,0.0,0.23460410557184752,0.21978021978021978,0.25157232704402516,0.4
0.0,0.3,0.4,0.0,0.3,0.24444444444444444,0.21890547263681592,0.27672955974842767,0.3
0.0,0.3,0.4,0.1,0.2,0.24046920821114368,0.22527472527472528,0.2578616352201258,0.35
0.0,0.3,0.4,0.2,0.1,0.23863636363636365,0.21761658031088082,0.2641509433962264,0.35
0.0,0.3,0.4,0.3,0.0,0.23529411764705882,0.22099447513812154,0.25157232704402516,0.4
0.0,0.3,0.5,0.0,0.2,0.2410958904109589,0.21359223300970873,0.27672955974842767,0.3
0.0,0.3,0.5,0.1,0.1,0.23598820058997047,0.2222222222222222,0.25157232704402516,0.35
0.0,0.3,0.5,0.2,0.0,0.23054755043227665,0.2127659574468085,0.25157232704402516,0.35
0.0,0.3,0.6,0.0,0.1,0.24390243902439024,0.21428571428571427,0.2830188679245283,0.3
0.0,0.3,0.6,0.1,0.0,0.2208588957055215,0.2155688622754491,0.22641509433962265,0.45
0.0,0.3,0.7,0.0,0.0,0.2342857142857143,0.21465968586387435,0.2578616352201258,0.3
0.0,0.4,0.0,0.0,0.6,0.2892561983471074,0.42168674698795183,0.22012578616352202,0.4
0.0,0.4,0.0,0.1,0.5,0.2690582959641256,0.46875,0.18867924528301888,0.45
0.0,0.4,0.0,0.2,0.4,0.28112449799196787,0.3888888888888889,0.22012578616352202,0.45
0.0,0.4,0.0,0.3,0.3,0.24107142857142855,0.4153846153846154,0.16981132075471697,0.5
0.0,0.4,0.0,0.4,0.2,0.26229508196721313,0.3764705882352941,0.20125786163522014,0.5
0.0,0.4,0.0,0.5,0.1,0.23563218390804597,0.21693121693121692,0.2578616352201258,0.45
0.0,0.4,0.0,0.6,0.0,0.22346368715083798,0.20100502512562815,0.25157232704402516,0.45
0.0,0.4,0.1,0.0,0.5,0.26050420168067223,0.3924050632911392,0.1949685534591195,0.45
0.0,0.4,0.1,0.1,0.4,0.2576271186440678,0.27941176470588236,0.2389937106918239,0.45
0.0,0.4,0.1,0.2,0.3,0.26315789473684215,0.43478260869565216,0.18867924528301888,0.5
0.0,0.4,0.1,0.3,0.2,0.2272727272727273,0.2857142857142857,0.18867924528301888,0.5
0.0,0.4,0.1,0.4,0.1,0.23741007194244604,0.2773109243697479,0.20754716981132076,0.5
0.0,0.4,0.1,0.5,0.0,0.22277227722772278,0.1836734693877551,0.2830188679245283,0.45
0.0,0.4,0.2,0.0,0.4,0.24431818181818182,0.22279792746113988,0.27044025157232704,0.4
0.0,0.4,0.2,0.1,0.3,0.24773413897280966,0.23837209302325582,0.2578616352201258,0.45
0.0,0.4,0.2,0.2,0.2,0.2492753623188406,0.23118279569892472,0.27044025157232704,0.45
